,Loan_Sanction_Amount_(USD)
0,77739.27
1,30240.74
2,179957.22
3,40837.69
4,18306.46
5,31020.0
6,52532.84
7,91751.02
8,27539.41
9,46131.87
10,57856.0
11,52533.94
12,67761.63
13,46175.38
14,51671.12
15,113223.02
16,84665.72
17,140971.01
18,104134.3
19,93727.84
20,97701.38
21,82285.88
22,19207.15
23,100701.98
24,30538.29
25,47769.6
26,43071.92
27,176418.68
28,91570.54
29,52170.34
30,85082.75
31,32824.64
32,90776.3
33,59909.26
34,13270.05
35,151467.63
36,104369.99
37,40730.72
38,120596.13
39,19790.36
40,98125.86
41,26479.35
42,56748.18
43,57962.92
44,65791.81
45,126753.63
46,25773.0
47,54227.93
48,26087.12
49,128627.66
50,100998.18
51,43142.57
52,91569.79
53,188096.54
54,28812.69
55,22614.9
56,28665.12
57,83122.31
58,73826.21
59,79325.47
60,24544.14
61,50255.85
62,56559.23
63,83123.18
64,37028.42
65,32795.22
66,214077.9
67,82168.63
68,54659.02
69,97764.92
70,31090.59
71,40813.28
72,40381.26
73,31107.77
74,71915.53
75,25692.26
76,55182.14
77,54689.83
78,36717.66
79,17616.79
80,21677.45
81,141228.79
82,82135.13
83,25312.08
84,96128.6
85,73812.52
86,27769.88
87,127336.93
88,36239.57
89,32813.4
90,66651.29
91,31236.65
92,96889.8
93,75082.46
94,32022.81
95,31240.79
96,43095.93
97,45253.36
98,112580.31
99,26622.52
100,34821.23
101,24228.66
102,140909.44
103,79147.44
104,187906.71
105,48267.89
106,193194.9
107,26129.82
108,108450.23
109,61402.03
110,4445.54
111,67953.16
112,56468.6
113,121365.0
114,77019.64
115,56414.98
116,78407.49
117,36569.22
118,92614.75
119,93394.74
120,39722.78
121,9770.73
122,28604.53
123,22591.32
124,47433.18
125,78957.63
126,47397.43
127,100062.6
128,64286.14
129,64541.74
130,22963.0
131,84969.36
132,22259.84
133,49526.3
134,27517.89
135,137579.62
136,53882.12
137,71661.88
138,14854.73
139,10476.89
140,19122.14
141,49935.2
142,132435.98
143,34755.65
144,26403.26
145,54135.38
146,87628.2
147,124934.05
148,109424.54
149,71569.9
150,46893.1
151,80834.7
152,27009.12
153,28070.51
154,84390.32
155,68114.02
156,14526.94
157,38274.46
158,16725.1
159,72404.71
160,47308.61
161,186776.3
162,128758.2
163,6210.96
164,151440.49
165,87381.72
166,93597.34
167,62170.58
168,31455.94
169,16098.25
170,82939.42
171,50458.96
172,160289.42
173,82731.81
174,118923.82
175,18086.83
176,50375.56
177,42457.39
178,29168.32
179,16440.26
180,83446.25
181,27079.36
182,24419.86
183,134630.95
184,50282.54
185,17778.76
186,63123.72
187,21272.01
188,45025.76
189,23078.17
190,126261.3
191,28573.82
192,11504.03
193,14530.41
194,57668.62
195,137971.89
196,61410.95
197,11576.21
198,35163.69
199,75975.89
200,66516.96
201,7897.35
202,129411.25
203,128298.44
204,53681.48
205,26706.91
206,150835.57
207,30139.72
208,108153.03
209,32333.29
210,76039.32
211,42743.04
212,47200.11
213,34019.13
214,30908.8
215,11886.95
216,18831.13
217,16925.64
218,33980.73
219,33081.13
220,89070.19
221,43462.26
222,56556.51
223,53556.76
224,60875.57
225,71719.8
226,220014.91
227,67030.87
228,32129.26
229,29876.78
230,126806.41
231,46474.3
232,51812.98
233,78020.43
234,105018.89
235,27438.1
236,16597.66
237,134154.97
238,27835.57
239,25079.24
240,57660.2
241,85192.28
242,56668.54
243,40858.28
244,20193.64
245,103932.02
246,115791.73
247,52067.02
248,165390.83
249,5066.94
250,89862.3
251,37309.07
252,32555.5
253,43956.61
254,88700.12
255,110733.79
256,26456.11
257,46038.17
258,90234.85
259,18553.85
260,110704.38
261,25153.94
262,54198.54
263,198656.23
264,72098.94
265,42254.3
266,77843.63
267,84182.58
268,84073.65
269,13073.99
270,56835.94
271,24740.48
272,12780.26
273,33870.74
274,36403.06
275,127874.85
276,28215.5
277,185458.09
278,66166.7
279,46352.94
280,17008.53
281,114094.48
282,22371.45
283,120018.37
284,138837.26
285,94095.55
286,32141.62
287,12698.99
288,64784.89
289,35294.06
290,44223.25
291,87541.81
292,97336.9
293,50382.81
294,17270.61
295,73161.08
296,72064.91
297,183789.4
298,42513.51
299,61791.86
300,47421.43
301,73026.32
302,89629.82
303,42262.18
304,24082.55
305,122441.17
306,64046.94
307,76965.08
308,20881.71
309,148224.87
310,19319.83
311,15843.95
