,Loan_Sanction_Amount_(USD)
0,117480.46
1,77739.27
2,33283.09
3,59327.14
4,30240.74
5,54050.26
6,136887.22
7,131030.9
8,25679.35
9,43438.11
10,179957.22
11,40837.69
12,18306.46
13,31020.0
14,57552.24
15,52532.84
16,91751.02
17,27539.41
18,37735.82
19,46131.87
20,57856.0
21,17150.57
22,52533.94
23,67761.63
24,46175.38
25,38212.82
26,22739.46
27,29801.22
28,29843.14
29,51671.12
30,46620.37
31,150600.08
32,113223.02
33,84665.72
34,140971.01
35,33488.8
36,57195.18
37,42719.55
38,24999.62
39,16959.89
40,104134.3
41,18014.72
42,93727.84
43,107486.25
44,97701.38
45,55290.92
46,82285.88
47,36531.35
48,19207.15
49,100701.98
50,59059.09
51,105798.53
52,30538.29
53,102353.5
54,47769.6
55,126228.39
56,43071.92
57,176418.68
58,91570.54
59,51134.35
60,52170.34
61,85082.75
62,32824.64
63,34984.28
64,18205.36
65,90776.3
66,59909.26
67,39363.88
68,57313.65
69,151467.63
70,251166.5
71,90170.19
72,104369.99
73,23447.11
74,44908.93
75,74362.34
76,40730.72
77,11646.98
78,17719.74
79,105190.65
80,48970.18
81,120596.13
82,8488.54
83,19790.36
84,88625.94
85,50510.33
86,98125.86
87,17903.56
88,26479.35
89,56748.18
90,19432.81
91,57962.92
92,38520.72
93,88688.29
94,65791.81
95,126753.63
96,39603.48
97,29296.75
98,23622.11
99,107737.93
100,25773.0
101,54227.93
102,69383.97
103,26087.12
104,27369.2
105,18359.74
106,44658.82
107,128627.66
108,72059.89
109,100998.18
110,43142.57
111,25588.91
112,122320.74
113,91569.79
114,188096.54
115,28812.69
116,101318.58
117,27067.05
118,37895.32
119,22614.9
120,30694.14
121,28665.12
122,51623.15
123,78982.0
124,83122.31
125,73826.21
126,79325.47
127,24544.14
128,99771.53
129,50255.85
130,56559.23
131,105489.92
132,83123.18
133,142964.35
134,37028.42
135,32795.22
136,214077.9
137,32365.4
138,82168.63
139,54659.02
140,97764.92
141,31090.59
142,40813.28
143,40381.26
144,86394.08
145,31107.77
146,83738.68
147,26691.94
148,34678.98
149,23046.16
150,71915.53
151,25692.26
152,55182.14
153,27604.18
154,54689.83
155,36717.66
156,17616.79
157,21677.45
158,141228.79
159,21416.48
160,57044.61
161,50586.13
162,47396.1
163,82135.13
164,25312.08
165,96128.6
166,73812.52
167,27769.88
168,20398.25
169,39099.8
170,68620.99
171,127336.93
172,36239.57
173,25606.05
174,32813.4
175,24720.1
176,41816.07
177,100046.33
178,47091.41
179,66651.29
180,56857.44
181,51203.88
182,31236.65
183,96889.8
184,24933.02
185,75082.46
186,32022.81
187,47207.78
188,131793.51
189,31240.79
190,49237.33
191,25585.95
192,43095.93
193,45253.36
194,9408.72
195,67002.7
196,112580.31
197,26622.52
198,19095.68
199,59253.08
200,38968.43
201,34821.23
202,24228.66
203,140909.44
204,50984.78
205,80305.52
206,79147.44
207,54791.84
208,187906.71
209,48267.89
210,193194.9
211,200448.61
212,26129.82
213,109576.58
214,108450.23
215,16168.07
216,153857.78
217,61402.03
218,17340.84
219,62506.55
220,51071.27
221,67953.16
222,56468.6
223,67283.07
224,86417.5
225,121365.0
226,77019.64
227,276618.44
228,72789.22
229,20205.85
230,56414.98
231,11621.09
232,144255.57
233,78407.49
234,36569.22
235,53565.36
236,92614.75
237,93394.74
238,49226.62
239,21642.23
240,39722.78
241,121367.74
242,9770.73
243,28604.53
244,67751.48
245,22591.32
246,47433.18
247,78957.63
248,30754.74
249,122813.87
250,39044.24
251,47397.43
252,70607.89
253,174919.88
254,100062.6
255,64286.14
256,47483.14
257,64541.74
258,22963.0
259,24098.26
260,84969.36
261,55720.8
262,22259.84
263,49526.3
264,59583.44
265,27517.89
266,137579.62
267,67694.59
268,102269.94
269,109888.91
270,56295.97
271,28449.05
272,53882.12
273,28524.23
274,71661.88
275,14854.73
276,50309.74
277,31217.0
278,107686.55
279,29343.85
280,37967.09
281,180998.98
282,10476.89
283,70795.08
284,19122.14
285,49935.2
286,132435.98
287,53843.85
288,166380.54
289,77852.68
290,34755.65
291,52053.31
292,33841.59
293,22371.74
294,26403.26
295,45643.17
296,124559.12
297,54135.38
298,124934.05
299,109424.54
300,105709.12
301,91648.98
302,71569.9
303,126462.57
304,47555.29
305,46893.1
306,237914.3
307,114469.07
308,80834.7
309,64168.45
310,43692.44
311,27009.12
312,142083.14
313,28070.51
314,98482.03
315,23955.82
316,35475.19
317,40526.97
318,84390.32
319,98766.25
320,58142.19
321,68114.02
322,98236.26
323,14526.94
324,38274.46
325,16725.1
326,120028.27
327,72404.71
328,47308.61
329,35449.1
330,46678.26
331,186776.3
332,128758.2
333,6210.96
334,128829.58
335,22558.1
336,20718.75
337,110801.65
338,88037.0
339,151440.49
340,87381.72
341,126749.26
342,123805.46
343,54549.45
344,93597.34
345,62170.58
346,31455.94
347,96742.87
348,16098.25
349,82939.42
350,50458.96
351,160289.42
352,82731.81
353,90634.01
354,44691.26
355,63680.38
356,118923.82
357,92733.91
358,117986.89
359,18086.83
360,84962.07
361,55344.07
362,88118.7
363,50375.56
364,42457.39
365,29168.32
366,18183.07
367,16440.26
368,128505.89
369,83446.25
370,27079.36
371,24419.86
372,134630.95
373,50282.54
374,17778.76
375,86434.39
376,63123.72
377,98560.37
378,21272.01
379,45025.76
380,23078.17
381,92235.96
382,126261.3
383,80600.23
384,11504.03
385,262816.61
386,14530.41
387,60135.3
388,85267.57
389,105364.06
390,67914.85
391,65416.72
392,157799.49
393,57668.62
394,95703.74
395,137971.89
396,16109.75
397,61410.95
398,68698.85
399,66592.41
400,15163.8
401,26870.0
402,11576.21
403,92214.45
404,32050.14
405,156996.67
406,163110.58
407,35163.69
408,76844.69
409,81029.24
410,24620.69
411,27240.35
412,75975.89
413,27981.96
414,25295.7
415,66516.96
416,52878.2
417,21475.59
418,129411.25
419,128298.44
420,53681.48
421,27497.74
422,178235.74
423,69827.53
424,26706.91
425,114554.04
426,27704.01
427,150835.57
428,46404.95
429,56070.46
430,39070.5
431,93610.02
432,31957.33
433,62100.32
434,30139.72
435,108153.03
436,14913.88
437,62128.07
438,32333.29
439,62315.53
440,32382.06
441,115470.63
442,22520.18
443,76039.32
444,42743.04
445,69526.42
446,47200.11
447,34019.13
448,8467.04
449,30908.8
450,23907.62
451,11886.95
452,60249.74
453,18831.13
454,31580.19
455,16925.64
456,33980.73
457,90236.82
458,33081.13
459,89070.19
460,99852.37
461,43462.26
462,56556.51
463,19818.48
464,53556.76
465,48024.12
466,17232.93
467,60875.57
468,71719.8
469,13211.93
470,220014.91
471,67030.87
472,32129.26
473,62177.58
474,101363.81
475,51297.68
476,29876.78
477,126806.41
478,14666.97
479,120169.63
480,46474.3
481,32309.16
482,51812.98
483,79134.3
484,23030.28
485,78020.43
486,92989.4
487,58160.33
488,23929.81
489,105018.89
490,27438.1
491,23557.99
492,86340.48
493,225712.55
494,35109.34
495,62576.92
496,33641.52
497,134154.97
498,195948.53
499,46558.6
500,27835.57
501,25079.24
502,57660.2
503,27285.3
504,85192.28
505,56668.54
506,135945.04
507,89022.84
508,34868.96
509,20193.64
510,31811.47
511,103932.02
512,57138.11
513,115791.73
514,31084.96
515,25853.29
516,35487.8
517,59781.74
518,52067.02
519,97513.95
520,78276.42
521,28419.42
522,48749.35
523,46567.81
524,48481.01
525,22968.0
526,33916.69
527,165390.83
528,48080.76
529,84973.94
530,89862.3
531,100485.08
532,32306.51
533,73899.92
534,43446.21
535,61875.06
536,58259.82
537,37309.07
538,35819.94
539,32555.5
540,18640.46
541,23617.39
542,43956.61
543,88700.12
544,22065.02
