ID,credit_status,annual_income,verification_status,employment_duration,property_type,interest_rate,credit_amount,credit_type,term,credit_category
343480,Paid,24000,Verified,10+ years,Leased,10.65%,5000,Credit card, 36 months,B
424837,Default,30000,Verified from source,< 1 year,Leased,15.27%,2500,car, 60 months,C
890229,Paid,12252,Not Verified,10+ years,Rented,15.96%,2400,Small business, 36 months,C
527512,Paid,49200,Verified from source,10+ years,Leased,13.49%,10000,Other, 36 months,C
968072,Paid,80000,Verified from source,1 year,Leased,12.69%,3000,Other, 60 months,B
911883,Paid,36000,Verified from source,3 years,Rented,7.90%,5000,Marriage, 36 months,A
399434,Paid,47004,Not Verified,8 years,Leased,15.96%,7000,Debt consolidation, 60 months,C
984312,Paid,48000,Verified from source,9 years,Leased,18.64%,3000,car, 36 months,E
794858,Default,40000,Verified from source,4 years,Own,21.28%,5600,Small business, 60 months,F
934075,Default,15000,Verified,< 1 year,Rented,12.69%,5375,Other, 60 months,B
578285,Paid,72000,Not Verified,5 years,Own,14.65%,6500,Debt Consolidation, 60 months,C
135997,Paid,75000,Verified from source,10+ years,Own,12.69%,12000,Debt Consolidation, 36 months,B
573167,Defaulted,30000,Verified from source,< 1 year,Leased,13.49%,9000,Debt consolidation, 36 months,C
889375,Paid,15000,Verified from source,3 years,Leased,9.91%,3000,Credit card, 36 months,B
858742,Defaulted,1.00E+05,Verified from source,3 years,Leased,10.65%,10000,Other, 36 months,B
854029,Paid,28000,Not Verified,< 1 year,Leased,16.29%,1000,Debt consolidation, 36 months,D
146859,Paid,42000,Not Verified,4 years,Rented,15.27%,10000,Home remodeling, 36 months,C
986728,Paid,110000,Not Verified,10+ years,Mortgaged,6.03%,3600,Consumption, 36 months,A
372024,Paid,84000,Verified,1 year,Mortgaged,11.71%,6000,Medical cause, 36 months,B
983825,Paid,77385.19,Not Verified,6 years,Leased,6.03%,9200,Debt Consolidation, 36 months,A
371772,Paid,43370,Verified,3 years,Leased,15.27%,20250,Debt consolidation, 60 months,C
498615,Defaulted,105000,Verified,10+ years,Leased,12.42%,21000,Debt consolidation, 36 months,B
397751,Paid,50000,Verified from source,10+ years,Own,11.71%,10000,Credit card, 36 months,B
479716,Paid,50000,Not Verified,5 years,Leased,11.71%,10000,Debt consolidation, 36 months,B
611743,Defaulted,76000,Not Verified,1 year,Rented,11.71%,6000,Consumption, 36 months,B
339607,Paid,92000,Verified,2 years,Mortgaged,9.91%,15000,Credit card, 36 months,B
304406,Defaulted,60000,Not Verified,9 years,Leased,14.27%,15000,Debt consolidation, 36 months,C
674898,Defaulted,50004,Not Verified,2 years,Leased,16.77%,5000,Other, 60 months,D
996698,Paid,106000,Not Verified,10+ years,Mortgaged,11.71%,4000,Debt consolidation, 36 months,B
998943,Paid,25000,Verified from source,< 1 year,Leased,11.71%,8500,Credit card, 36 months,B
451723,Paid,17108,Verified from source,7 years,Mortgaged,7.51%,4375,Debt consolidation, 36 months,A
964314,Paid,75000,Verified,5 years,Mortgaged,7.90%,31825,Debt consolidation, 36 months,A
328214,Paid,29120,Verified,2 years,Leased,15.96%,10000,Debt consolidation, 60 months,C
154298,Paid,24044,Verified,2 years,Leased,8.90%,5000,Debt Consolidation, 36 months,A
235766,Paid,34000,Verified from source,7 years,Leased,15.96%,7000,Credit card, 36 months,C
523183,Paid,41000,Not Verified,10+ years,Leased,10.65%,12400,Credit card, 36 months,B
386359,Paid,55596,Verified from source,2 years,Leased,9.91%,10800,Moving in, 36 months,B
968759,Paid,45000,Verified,1 year,Leased,7.90%,15000,Debt consolidation, 36 months,A
679977,Paid,36852,Verified from source,1 year,Leased,12.42%,6000,Debt Consolidation, 36 months,B
635555,Paid,27000,Verified,1 year,Leased,12.69%,12500,Debt consolidation, 60 months,B
312276,Paid,68004,Verified from source,4 years,Leased,7.51%,9600,Other, 36 months,A
201964,Paid,62300,Not Verified,10+ years,Leased,7.90%,12000,Debt Consolidation, 36 months,A
245132,Paid,65000,Not Verified,9 years,Mortgaged,18.25%,3000,Other, 36 months,D
147840,Paid,55000,Not Verified,10+ years,Leased,16.77%,4400,Debt Consolidation, 36 months,D
272214,Paid,45600,Not Verified,10+ years,Mortgaged,6.03%,6000,Debt Consolidation, 36 months,A
306989,Paid,80000,Not Verified,6 years,Rented,9.91%,14000,Small business, 36 months,B
980924,Defaulted,1.00E+05,Verified from source,10+ years,Mortgaged,8.90%,5000,Debt consolidation, 36 months,A
211200,Paid,27000,Verified,6 years,Leased,10.65%,10000,Other, 36 months,B
602379,Paid,60000,Not Verified,10+ years,Leased,6.03%,10000,Credit card, 36 months,A
804162,Paid,70000,Not Verified,5 years,Leased,6.62%,11000,Debt consolidation, 36 months,A
659465,Defaulted,80000,Not Verified,8 years,Mortgaged,9.91%,15000,Debt consolidation, 36 months,B
879126,Paid,110000,Verified,9 years,Leased,9.91%,25600,Credit card, 36 months,B
538820,Paid,40000,Not Verified,< 1 year,Leased,10.65%,7000,Debt consolidation, 36 months,B
